ltable_id,rtable_id,sensitive
1162,2109,False
741,358,False
587,2816,True
809,2585,False
1012,813,False
268,3128,False
994,828,False
1299,697,False
571,3027,True
457,2622,False
1011,807,False
584,2818,True
378,2628,False
955,851,False
586,2530,False
660,235,False
95,1630,False
759,1949,False
1158,912,False
262,1122,False
348,1585,False
180,1542,False
876,2473,False
40,2050,False
92,1648,False
1283,496,False
987,825,False
1275,2338,False
1203,590,False
740,930,False
718,450,False
688,250,False
175,1485,False
641,545,False
621,289,False
1309,662,False
748,351,False
1146,927,False
973,2214,False
810,2586,False
353,2871,False
957,857,False
902,2605,False
1272,2744,False
1139,2197,False
89,1616,False
1344,644,False
421,2382,False
811,2582,False
979,2222,False
420,2388,False
1167,907,False
731,2313,False
1175,926,False
469,2480,True
746,349,False
589,2367,False
1294,703,False
471,145,False
1010,2379,False
734,435,False
732,432,False
1271,467,False
124,2845,False
588,558,False
647,311,False
437,2211,False
380,2676,False
1085,985,False
1142,2201,False
368,2757,False
41,2043,False
756,341,False
1199,580,False
1333,629,False
163,1486,False
1350,595,False
920,2558,False
570,2861,False
1333,993,False
704,407,False
742,356,False
831,2767,False
434,2233,False
851,2920,False
832,2768,False
1069,2049,False
111,1692,False
1195,1028,False
979,994,False
376,2638,False
990,2243,False
675,258,False
600,515,False
1179,896,False
538,995,False
753,1497,False
892,800,False
712,401,False
542,1504,False
682,272,False
115,1685,False
692,425,False
360,2856,False
1263,458,False
698,414,False
411,2872,False
1067,12,False
529,1600,True
123,1740,False
736,3017,False
456,2550,False
91,1681,False
1248,1065,False
785,2576,False
365,2849,False
981,845,False
779,2573,False
480,2457,False
783,2173,False
1079,997,False
801,2602,False
1230,499,False
1076,2093,False
1239,505,False
1237,509,False
796,2181,False
966,874,False
626,292,False
892,2791,False
1250,534,False
1115,792,False
1078,741,False
1098,965,False
774,367,False
1062,2063,False
1099,2289,False
971,836,False
1132,935,False
561,2386,False
673,255,False
543,371,False
1258,2926,False
372,2827,False
1105,2009,False
1202,584,False
951,891,False
1096,2460,False
548,2302,False
1031,763,False
1200,579,False
579,2532,False
266,2384,False
1088,975,False
855,189,False
460,2512,False
505,2162,False
1247,516,False
636,277,False
94,1629,False
701,411,False
57,2101,False
557,2112,False
442,2180,True
171,1472,True
1277,1031,False
308,3098,False
1018,771,False
1151,2126,False
1287,1035,False
525,237,False
935,2179,False
935,3008,False
1038,2339,False
1258,2765,False
633,281,False
950,2288,False
10,1953,False
488,2415,False
265,331,False
857,2505,False
799,2592,False
932,175,False
681,267,False
835,2914,False
323,3106,False
1145,2195,True
468,2134,False
836,2893,False
521,1808,True
423,2364,True
1095,966,False
524,2680,False
284,3028,False
738,433,False
112,1689,False
986,2238,False
538,2911,False
1264,2273,False
267,2503,False
772,2860,False
1111,495,False
803,953,False
618,291,False
519,2423,True
1286,2739,False
1220,559,False
1337,651,False
804,2599,False
672,1519,False
532,2516,False
817,400,False
199,65,False
450,2138,False
963,869,False
1310,663,False
944,2276,False
1173,899,False
1039,766,False
1168,2169,False
28,2000,False
600,2115,False
1319,683,False
708,404,False
454,2136,False
1190,2468,False
629,275,False
1014,2835,False
1275,2420,False
1120,942,False
1284,1052,False
1207,538,False
839,2607,False
683,775,False
1145,904,True
1306,705,False
1234,2593,False
1175,2158,False
449,2149,False
883,921,False
1325,677,False
795,2594,False
924,2553,False
309,3102,False
949,890,False
1163,909,False
686,248,False
199,1717,False
751,347,False
903,989,False
798,1690,False
851,2447,False
778,2574,False
725,440,False
311,3104,False
496,1643,True
489,2422,False
983,821,False
1103,1440,False
494,810,False
916,2557,False
591,265,False
776,376,False
91,1644,False
905,166,False
1314,654,False
942,878,False
80,1579,False
959,861,False
1024,2421,False
1265,470,False
948,2282,False
528,2843,False
723,441,False
684,244,False
747,353,False
1073,990,False
1228,500,False
1327,643,False
923,176,False
508,168,False
1024,2936,False
1075,991,False
580,264,False
1286,1038,False
1197,575,False
1343,645,False
464,2494,False
48,2074,False
507,1490,False
853,2440,False
737,1667,False
1125,1676,False
375,2636,False
286,3015,False
628,276,False
609,900,False
653,313,False
1093,1409,False
85,1627,False
1278,477,False
509,1961,True
1144,931,False
583,149,False
617,214,False
757,340,False
1118,950,False
8,2328,False
651,317,False
1170,2156,False
828,2759,False
1210,544,False
574,3029,True
1097,1360,False
1117,1431,False
429,2284,False
99,1680,False
605,998,True
1108,964,False
1345,603,False
528,2301,False
632,924,True
462,2538,False
1133,304,False
165,1503,False
893,156,False
1114,1420,False
958,2445,False
711,403,False
1165,908,False
1113,948,False
13,1966,False
637,325,False
1148,2192,False
1233,513,False
589,3038,False
471,750,False
117,1790,False
516,893,False
446,2155,False
1136,933,False
461,2548,False
1298,698,False
182,1557,False
567,2529,False
566,357,False
20,1241,False
1177,945,True
1001,2373,False
718,1443,False
1361,963,False
494,1370,False
808,535,False
867,2484,False
1006,796,False
746,2632,False
1226,503,False
455,2564,False
1302,745,False
1126,941,False
1353,621,False
869,2287,False
88,1612,False
818,2683,False
918,2558,False
1187,565,False
907,2560,False
793,2570,False
976,1492,False
634,280,False
245,144,False
917,163,False
1238,2418,False
754,339,False
958,554,False
53,2084,False
962,868,False
523,239,True
52,2082,False
1106,956,False
225,2316,True
556,3016,False
913,161,False
183,1555,False
1256,460,False
248,1633,True
1081,980,False
366,2770,False
802,2598,False
487,2404,False
914,2556,False
1044,2347,False
864,207,False
1093,2621,False
693,2782,False
72,1567,False
925,179,False
394,2909,False
86,1607,False
1182,1531,False
1251,533,False
874,199,False
347,2864,False
1281,1029,False
744,360,False
899,2933,False
1279,1030,False
364,2395,False
1246,1061,False
1346,604,False
932,774,False
790,2572,False
216,485,False
733,2934,False
354,2869,False
1177,1496,True
264,263,False
767,379,False
383,2642,False
995,383,False
1084,2067,False
858,2848,True
773,2206,True
1240,1090,False
649,306,False
1112,949,False
1064,2057,False
271,1512,True
1316,659,False
56,2099,False
780,2579,False
609,2188,False
1042,2352,False
513,2055,False
126,1820,False
441,2163,False
780,1502,False
479,2452,False
495,2246,False
383,3099,False
1361,605,False
597,369,False
1186,566,False
592,257,False
642,352,False
759,393,False
636,2153,False
166,1505,False
69,1576,False
642,2839,False
671,223,False
189,1508,False
1236,1347,False
961,9,False
882,1566,False
1171,905,False
863,208,False
64,2121,False
83,1622,False
1356,624,False
319,3119,False
755,337,False
497,1569,True
481,2459,False
1021,791,False
15,1970,False
742,2617,False
1261,2389,False
1282,2377,False
58,2113,False
463,2495,False
1252,1081,False
946,2283,False
272,2372,False
276,2996,False
1249,2922,False
1234,2881,False
130,1794,True
817,2675,False
727,439,False
396,2470,False
1336,625,False
1275,1032,False
1101,1368,False
1280,482,False
691,2781,False
982,2224,False
131,1816,False
1093,2755,False
1212,548,False
967,2131,False
581,2583,False
1007,815,False
59,2119,False
833,2630,False
838,2714,False
735,2931,False
26,3032,False
1192,574,False
30,428,False
635,279,False
969,837,False
444,2159,False
1264,2752,False
1028,2333,False
772,465,False
956,2291,False
177,1481,False
769,384,False
819,2830,False
875,2475,False
961,2307,False
1044,753,False
17,1985,False
852,2442,False
830,972,False
1111,1418,False
1257,462,False
536,145,False
68,1578,True
1060,2051,False
706,405,False
871,2799,False
770,385,False
1304,712,False
683,243,False
1036,769,False
721,447,False
813,336,False
590,316,False
646,307,False
1091,1401,False
333,2177,False
1123,940,False
37,2031,False
1177,2137,True
369,2770,False
1068,2023,False
846,422,False
794,709,False
887,2541,False
1211,547,False
1155,914,False
976,838,False
1218,555,False
615,368,False
1235,508,False
736,426,False
43,2066,False
426,2334,False
643,335,False
578,2821,True
709,2786,False
39,2052,False
1072,2565,False
781,2257,True
724,2798,False
484,2807,False
1289,494,False
876,172,False
42,2068,False
838,461,False
952,2285,False
1317,679,False
436,2217,False
648,305,False
881,2544,False
1184,563,False
1281,551,False
377,2624,False
862,2502,False
373,2805,False
458,2619,False
860,228,False
977,843,False
1349,254,False
1241,523,False
29,2002,False
118,1771,False
632,273,True
1297,689,False
181,1538,False
661,242,False
1311,664,False
1284,1039,False
913,3127,False
1315,656,False
1022,793,False
945,887,False
325,3110,False
1082,2069,False
13,2264,False
1357,614,False
1078,2100,False
669,219,False
890,3023,False
882,2546,False
459,2523,False
840,2941,False
500,2563,False
51,2092,False
603,259,False
1119,2189,False
577,2773,False
65,2125,False
27,1447,False
552,541,False
524,944,False
1355,617,False
573,2634,False
1275,2432,False
93,1652,True
1131,2172,False
358,2838,False
1105,2490,False
1143,2196,False
921,177,False
1159,2117,False
599,2501,False
1285,497,False
995,2253,False
1115,1427,False
1119,707,False
1023,786,False
1008,1534,False
1312,665,False
687,249,False
1181,894,False
1225,1086,False
1288,493,False
1347,598,False
934,173,False
654,314,False
1100,2365,False
805,2580,False
624,296,False
540,2323,False
1107,2016,False
1116,952,False
1330,639,False
262,1125,False
31,2006,False
128,1818,False
355,2866,False
1004,794,False
604,1512,True
382,2193,False
1141,929,False
1338,650,False
45,2060,False
107,1696,False
287,3024,False
164,1487,False
1335,628,False
860,2236,False
620,798,False
414,2875,False
829,2766,False
75,1594,False
837,902,False
935,613,False
662,3117,True
320,2329,False
1127,2182,False
1286,2935,False
544,286,True
1293,700,False
1156,2124,False
1051,2360,False
1086,2077,False
612,2299,False
119,1774,False
644,330,False
491,2427,False
1047,747,False
789,2493,False
490,2803,True
1194,573,False
970,2209,False
527,2807,False
1291,701,False
546,1696,False
1066,2036,False
750,342,False
926,2554,False
1321,687,False
362,2855,False
178,1548,False
939,2274,False
1253,532,False
75,1921,False
740,427,False
312,577,False
554,3014,False
453,2133,False
26,372,False
78,1602,False
1040,2350,False
359,2836,False
1191,567,False
1030,2320,False
536,750,False
276,3022,False
1269,1433,False
22,1435,False
1262,192,False
1308,713,False
510,2056,False
845,180,False
477,2466,False
896,159,False
1141,2811,False
404,2890,False
897,452,False
32,2008,False
1099,767,False
559,326,False
1090,973,False
501,808,True
625,294,False
1266,1060,False
1340,648,False
19,1237,False
538,2200,False
585,2517,False
1341,647,False
517,986,False
168,2164,False
1206,537,False
