ltable_id,rtable_id,sensitive
982,2999,True
1931,810,False
190,805,False
1850,742,False
2909,1529,False
2175,996,True
4101,2360,False
890,2580,True
2689,1373,True
1672,590,False
3210,1737,True
4286,2362,False
3758,2120,True
4003,2284,True
4088,2351,False
2606,1320,False
1460,412,True
2362,1136,False
386,2204,False
2992,1590,False
1456,409,True
3802,2149,False
3800,2146,True
1648,571,True
120,213,True
3035,1620,False
1914,793,False
2463,1206,False
2289,1085,False
2506,1242,False
4157,2405,False
1157,155,True
294,1586,True
4237,2466,False
781,2835,True
2722,1393,False
480,2576,False
61,2710,False
418,2441,False
3079,1650,True
3917,2224,False
271,1410,False
1780,685,False
2558,1284,False
563,1177,False
1621,548,True
2007,203,True
1042,55,False
3381,1859,False
1842,737,True
4063,2331,False
4161,2409,False
862,2906,True
2242,1048,True
3622,2020,False
1004,20,True
1522,467,True
2491,1230,False
1748,652,True
2700,1380,True
3468,1921,True
1474,427,True
1030,43,False
3073,1647,False
1394,358,False
2163,985,False
2764,1423,True
2867,1493,True
