ltable_id,rtable_id
982,2999
1931,810
190,805
1850,742
2909,1529
2175,996
4101,2360
890,2580
2689,1373
1672,590
3210,1737
4286,2362
3758,2120
4003,2284
4088,2351
2606,1320
1460,412
2362,1136
386,2204
2992,1590
1456,409
3802,2149
3800,2146
1648,571
120,213
3035,1620
1914,793
2463,1206
2289,1085
2506,1242
4157,2405
1157,155
294,1586
4237,2466
781,2835
2722,1393
480,2576
61,2710
418,2441
3079,1650
3917,2224
271,1410
1780,685
2558,1284
563,1177
1621,548
2007,203
1042,55
3381,1859
1842,737
4063,2331
4161,2409
862,2906
2242,1048
3622,2020
1004,20
1522,467
2491,1230
1748,652
2700,1380
3468,1921
1474,427
1030,43
3073,1647
1394,358
2163,985
2764,1423
2867,1493
