ltable_id,rtable_id,sensitive
610,1595,False
2580,616,False
1061,1284,False
1459,1317,False
2463,1546,False
516,735,False
1938,73,True
2038,895,True
624,920,False
2227,2091,False
164,1467,False
2081,1419,True
1189,1969,False
331,1701,False
424,1813,False
774,826,False
2416,976,False
441,1363,False
1115,1425,False
2309,2179,True
1049,242,False
40,1558,False
1792,938,True
1328,517,False
413,1129,True
1669,839,False
871,2081,False
8,1759,False
487,801,True
1749,160,False
157,1822,False
1830,771,False
312,1699,False
1596,230,False
759,1897,False
1468,256,False
1878,1252,False
2053,1617,False
986,626,False
1635,1695,False
2514,566,False
1894,2204,False
594,2143,False
1102,1669,True
1309,2263,False
2539,416,False
1108,1881,False
877,103,False
519,743,False
635,1902,True
961,982,False
1603,645,True
1460,75,False
2582,1305,False
1037,642,False
1239,1832,True
2065,61,False
452,912,False
1725,624,False
344,916,True
1122,2151,False
1916,31,False
1215,215,False
1762,158,True
1649,74,False
1599,1524,False
291,1313,False
792,71,False
943,358,False
1731,1184,True
1245,2181,False
1642,2155,False
936,412,False
386,669,False
2349,1594,False
128,1099,False
2164,1973,False
248,1708,False
221,248,False
484,223,False
1899,904,False
798,1281,False
1153,798,False
101,197,True
743,1785,False
1428,1088,False
147,463,True
977,544,False
189,1494,False
2336,1391,False
1017,1977,False
2448,28,True
1959,1970,False
2143,1073,False
169,1987,False
75,719,True
1982,2102,False
631,1190,False
2216,851,True
976,1186,False
28,1176,True
2527,286,True
55,1694,False
1109,65,True
1156,1726,False
543,204,False
707,1569,False
1063,105,False
410,973,False
2087,491,True
1597,1360,False
952,752,False
1923,1733,True
2046,582,False
359,547,False
1533,1640,False
2289,1877,False
2528,506,False
1592,1110,False
2014,1526,False
1372,502,False
2541,119,False
2428,683,False
394,98,False
973,4,False
418,1529,False
14,2106,False
278,164,False
262,2043,False
2236,2060,False
1971,886,False
1291,2109,False
2364,307,False
20,742,False
1508,1404,False
716,2012,False
64,1256,False
2424,620,False
271,1975,False
69,1479,False
948,1706,False
2008,1236,False
71,1926,False
204,167,False
1777,79,False
2072,1484,True
2230,2265,False
1868,2238,False
13,1223,False
1136,1148,True
2167,1585,False
2319,2052,False
1124,29,False
114,1920,False
1652,1486,False
2085,816,False
1408,2217,True
2310,1477,False
272,585,False
1230,1415,False
2052,994,True
2427,2260,False
1242,279,False
1275,671,False
1283,240,False
1801,1626,True
194,1995,False
926,494,False
1668,260,False
2418,2100,False
2140,781,False
1663,1321,False
89,310,False
1046,37,False
839,998,False
1031,1501,False
934,334,False
2585,1903,True
2485,9,False
2277,2063,False
2288,1393,False
1737,830,False
1948,405,True
1457,835,False
2262,1424,False
1984,1705,False
1125,1948,False
2466,1510,False
336,2169,False
54,356,True
2376,972,False
1848,656,False
680,1887,False
630,964,False
330,456,False
2351,1981,False
562,235,False
2596,1681,False
2474,1924,False
2068,703,False
1322,1449,False
602,1257,False
2430,2245,True
2080,377,False
2115,190,False
746,243,True
2298,1963,False
1691,324,False
2447,421,False
1082,1535,False
1678,161,False
2522,348,False
2213,1835,False
1364,1338,False
1044,258,True
2535,40,False
2171,825,False
2201,957,False
388,1460,False
1900,509,False
662,500,True
313,1816,False
1977,1909,False
1481,1048,True
153,2211,False
1507,1049,False
1374,1842,False
1393,241,False
1594,880,False
2500,1541,False
681,2073,False
787,508,False
1292,1843,False
2595,1026,False
2456,1154,True
1571,90,True
595,445,False
2417,843,False
1354,2009,False
1572,1362,False
553,2232,False
110,336,False
612,139,False
1839,1009,False
398,1396,True
174,965,False
1462,290,False
638,1006,True
2311,1143,True
1298,1086,False
1225,17,False
1969,881,False
1416,2275,False
1784,1989,False
245,1215,False
1837,427,False
