ltable_id,rtable_id,sensitive
155,3446,False
261,5192,True
376,9389,False
284,2675,False
2088,17263,False
920,3246,False
678,8962,False
1217,5249,False
2230,12949,False
719,6972,True
2515,4424,False
1535,18999,False
1607,13172,False
2253,11265,False
739,11687,True
1349,4659,False
2160,9858,False
1657,16332,False
2508,11582,False
2193,9730,False
398,16514,False
1704,16231,False
595,14869,False
1877,2927,False
1868,4494,False
934,13148,False
1125,8267,False
2159,17899,False
594,20843,False
1077,11884,False
1784,11403,False
2305,10515,False
2139,101,False
1932,9095,True
537,790,False
514,14881,False
448,13173,False
2418,7679,False
2462,8175,False
2231,17839,False
1776,15489,False
2409,11714,False
2142,13934,False
669,12490,False
15,4282,False
2196,17366,False
559,20713,False
399,713,False
1813,1607,False
1229,5842,False
1545,21374,False
1151,18330,False
2507,5038,False
2341,7893,False
1423,9727,False
1602,10608,True
769,6362,False
1997,12451,False
803,4121,False
1454,10760,False
2229,14755,False
801,13029,True
2379,264,False
1987,16252,False
1029,16791,False
2481,6885,False
424,8534,False
1944,828,True
1080,14454,False
584,965,False
1641,15009,False
2397,10117,False
2006,13921,False
539,11542,False
717,20106,False
1563,430,False
2501,4362,False
1643,2779,False
709,1096,False
2028,12891,False
2440,6643,False
2502,16032,False
1193,5592,False
2344,6970,True
239,10617,False
530,18531,False
2267,2527,False
362,16307,True
1850,17488,True
2121,4432,False
1292,18602,False
2394,13251,False
346,8304,False
1451,4719,False
816,11998,False
991,12312,False
1280,17949,False
2408,6808,False
2365,8618,True
597,22043,True
1456,18231,False
7,1303,False
1640,9564,False
56,21964,False
136,2576,False
2190,21661,False
215,6601,False
1439,19654,True
917,17317,False
545,7624,False
542,13159,True
2396,18101,False
752,7075,False
2106,1253,False
1090,16634,False
1022,12116,False
737,6759,True
1315,21112,False
2435,20419,False
788,14901,False
961,14317,False
531,19817,False
2407,12311,False
151,691,False
541,9189,False
734,5991,False
1391,2976,False
1791,19538,False
705,12895,False
1733,21812,False
56,9164,False
1984,1120,False
66,3668,False
1774,18402,False
1949,17302,False
2297,10869,False
2052,6286,False
1558,12852,False
1183,11288,False
2154,11211,False
1362,17388,False
128,10640,False
1988,9474,False
1153,9237,False
577,19367,False
1398,4586,False
1841,2326,False
832,19556,False
625,18443,False
2412,7233,True
1148,16756,False
1714,18512,False
2191,16173,False
1233,12407,False
463,11440,False
1153,13245,False
1356,11269,False
1884,17578,False
2151,7338,False
1397,20805,False
1595,13390,False
2037,8519,False
1334,8618,True
475,12746,False
1907,10481,False
931,6451,False
1473,3250,False
181,12012,False
178,19149,False
1614,11350,False
692,18704,False
1316,4506,False
2237,1696,False
1686,17665,False
2167,17733,False
699,3856,False
507,11953,False
2155,4509,False
1591,3205,False
322,9990,False
1901,10882,False
1866,14359,True
2076,18297,False
2163,8469,False
1694,20397,False
1753,16220,False
1899,5458,True
1037,12168,False
415,20385,False
2405,8668,True
898,7383,False
561,18152,False
2374,3051,True
2379,10267,False
1195,5364,False
2165,21076,False
2257,8356,False
2107,8358,False
1862,15434,False
218,5046,False
2478,16862,False
80,6526,False
2196,19484,False
29,6031,False
54,6572,False
635,7145,False
2078,3894,False
1457,8346,False
1402,20183,False
2266,1616,False
496,4496,False
2209,17162,False
1628,6288,False
93,8350,False
2540,5175,False
741,11537,False
2317,15825,False
1908,20111,False
1230,4667,False
2324,20693,False
589,16953,False
1200,159,False
805,14294,False
832,4597,False
1964,14803,False
2265,18698,False
69,14641,False
1030,10555,True
2548,19117,False
2503,20051,False
1513,1592,False
2345,15061,False
258,10646,False
1282,1240,False
765,15415,False
1966,656,False
617,19540,False
2522,3324,False
693,2611,False
722,12995,False
1528,811,True
2039,7443,False
1233,18428,False
1489,2077,False
528,21347,False
1208,3254,False
916,8910,False
128,2701,False
2164,3694,False
652,7445,False
2037,21543,False
1349,12191,False
1236,7615,False
1701,18549,False
1893,11120,False
2364,17915,False
2259,14834,False
1324,912,False
1827,2578,False
159,5664,False
2387,20821,False
1860,5560,False
1121,14109,False
2192,3144,False
310,4720,False
527,485,False
1365,18372,False
1813,3253,True
1197,4814,False
378,21690,False
810,11428,True
1751,20117,False
1651,13804,False
1353,6819,False
1345,14257,False
86,7610,False
2030,13167,False
336,20174,True
598,3626,False
2353,13476,False
5,20932,False
2018,5207,False
2061,352,False
1299,15462,False
1359,1903,False
2210,16560,False
1466,11641,False
94,9051,False
2274,356,False
687,20212,False
49,8096,False
2344,4984,True
898,15335,False
1720,20522,False
1165,3695,False
1360,994,False
1418,14715,True
1592,16658,False
2511,21503,False
475,20392,False
680,843,False
2539,10705,False
205,10517,False
2438,2861,False
387,3169,False
660,10273,False
2133,10434,False
1992,1274,False
2381,3482,False
645,6760,True
81,17194,False
949,7346,False
2040,9550,False
545,7622,False
317,1082,False
2063,6308,False
1846,15547,False
902,6661,False
134,3740,False
2141,11048,False
2017,16793,False
415,17243,True
1832,432,False
1405,14894,True
1602,19807,False
1136,17383,False
57,13302,False
2069,21448,True
2482,19119,False
64,8391,False
396,7149,False
65,7156,True
264,16640,False
1708,16226,False
662,17258,False
600,12881,False
2474,14437,False
1256,20411,False
1641,11044,False
2245,3566,False
1930,15375,False
2239,326,True
2083,14539,False
1007,18142,True
785,10845,False
356,21591,True
1695,17274,False
2156,14545,False
1968,21511,False
2194,5101,False
370,15071,False
2000,14202,False
2264,19007,False
1694,11026,False
1980,4278,False
707,11829,False
2094,15247,False
1246,17191,True
720,13398,False
102,11759,False
801,8931,True
452,16645,False
1803,6872,False
30,11088,False
714,16478,False
715,7850,False
2378,11830,False
144,7970,False
2295,21434,True
222,1354,False
1573,5415,False
1104,1397,False
1137,4429,False
1863,21325,False
688,4783,False
1952,1769,False
1262,12734,False
2248,8368,False
1936,18140,False
1703,17701,False
2125,16072,False
91,17687,False
2342,638,False
2477,4884,False
1208,16935,False
78,12347,False
2531,19976,False
2074,17803,False
2219,245,False
1437,11704,False
1512,20844,False
2149,4784,False
217,5274,False
1209,9717,False
759,8381,False
1141,9253,False
1529,1441,False
1953,11438,False
1367,12146,False
841,7503,False
547,9295,False
1145,2867,False
2101,15843,False
725,16800,False
1473,3248,False
1832,13396,False
469,2720,False
1983,6913,False
1187,5479,False
1140,9097,False
1843,4900,False
1190,10706,False
648,4759,False
905,19636,False
108,21709,False
1413,2788,False
2132,7358,False
848,3153,False
1210,1324,False
1477,2432,False
1193,4493,False
1564,6914,False
1542,10127,False
857,7347,False
1988,2476,False
938,15252,False
211,400,False
312,13299,False
20,16837,False
550,19539,False
1412,16818,False
1031,13438,False
1506,16666,False
1252,9635,False
2093,16311,True
2213,21798,False
829,8897,False
107,12090,False
936,14004,False
2221,11340,False
1134,8789,False
131,5595,False
1081,21587,False
179,8545,False
2050,21912,False
575,1128,True
2461,13243,False
818,979,False
1905,7800,False
614,22045,False
893,11620,False
588,20108,False
1208,18170,True
276,15426,False
639,7371,False
2014,11740,False
1394,19580,False
1652,14384,False
101,2593,False
973,21568,True
1522,1025,False
1716,17396,False
983,18364,False
1577,13540,False
1660,11172,False
34,3067,True
1727,14918,False
1771,235,True
986,6669,False
1560,19669,False
429,3273,False
895,12463,False
1539,4756,False
1609,2509,False
2543,2533,False
500,12544,False
222,17534,False
2326,19268,False
2483,11841,False
1481,4162,False
148,18936,True
159,9709,False
1070,18620,False
1761,4576,False
2179,18387,False
1315,7783,False
2496,12024,False
1975,8180,False
1861,18357,True
1504,4817,False
1525,12543,False
874,5644,False
88,18980,False
313,8870,False
1119,3471,False
453,4892,False
246,13589,True
199,5511,False
1400,18727,True
862,5782,False
2158,9026,False
2488,5635,False
1963,6961,False
1621,16058,False
2150,21343,False
955,4702,False
996,2750,False
219,8696,False
1578,3323,False
1370,5172,False
1424,8192,False
950,15942,False
684,17573,False
563,18915,False
558,5883,False
1552,9156,False
1987,10905,False
2021,17374,False
1338,17543,False
723,9675,False
1074,20740,False
2497,19525,True
315,7705,False
1706,17026,False
2479,10669,False
2476,6955,False
2080,16295,False
2371,10923,False
148,16350,True
2276,12760,False
1508,19514,True
2523,10365,False
194,6876,False
797,6508,False
95,10966,True
2536,12333,False
522,14014,False
1891,15304,False
351,10048,False
1298,8455,False
1145,4787,False
925,21757,True
2021,17451,False
388,1450,False
2368,15351,False
771,5517,False
1790,19800,False
1686,20038,False
1320,884,False
1009,780,False
1044,3009,False
529,17879,False
853,6747,False
1066,8297,False
2340,3758,False
979,9553,False
926,4426,False
1738,20132,False
652,6708,False
1943,15780,False
173,1249,False
1606,18687,False
1626,13619,False
577,21736,False
1242,2465,False
97,15904,False
1927,19026,False
15,17364,False
281,7824,False
2332,18200,False
2360,7249,False
1377,12161,False
446,5774,False
1475,8650,False
472,15367,False
1713,21093,False
88,3269,False
1624,5013,True
470,10874,False
1534,1090,False
538,17174,False
99,4520,False
1315,15122,False
498,5577,False
1340,8496,False
1396,2438,False
1656,14169,False
1888,6729,False
1417,7248,False
1931,11214,False
1107,12700,False
42,172,False
738,18197,False
465,15278,True
6,9015,False
1484,15558,False
1237,6974,True
781,17483,False
699,4283,False
145,15891,False
2147,2887,False
1697,21667,True
992,19592,True
294,19911,False
1903,10674,False
2266,13318,False
147,21192,False
2471,19283,False
1426,10692,False
480,376,False
1467,16059,False
1207,6898,True
1589,2645,False
1268,4380,False
1841,18623,False
382,12582,False
1248,16298,False
1986,6413,False
875,4226,False
502,11435,False
454,1891,False
579,15015,False
1610,10450,False
599,556,False
2441,21373,False
932,2813,False
1102,7853,False
1895,7660,False
999,4923,False
1355,559,False
345,8386,False
2140,6965,False
1613,17218,False
1325,10507,False
2018,11227,False
693,104,False
229,13258,False
1244,10288,False
2516,20309,False
447,13174,False
1632,20070,False
770,11223,False
1011,13413,False
1976,12093,False
2468,16832,False
1194,14916,True
2092,13767,False
186,1928,False
1571,6998,False
611,8429,False
130,9890,False
811,453,False
1014,7028,False
2004,19520,False
2087,11143,False
544,13664,False
2186,13583,False
15,17810,False
656,10558,False
1305,2558,False
907,13994,False
1024,12674,False
828,10887,False
2519,2668,False
1224,8070,False
431,18464,False
1485,1375,False
2349,18166,True
604,15829,False
658,21942,False
725,16277,False
1851,13348,False
1728,12125,False
2327,8544,False
585,14867,False
1829,19353,False
2007,20461,False
33,11683,False
1834,16331,False
1810,577,False
114,9223,False
1138,9085,False
1441,15284,False
908,13023,False
941,2805,False
784,21196,False
600,4691,False
1837,13677,False
503,10206,False
201,6828,False
1936,11295,False
1476,11083,False
1073,2522,False
2296,12892,False
1498,5234,False
735,12273,False
1972,3590,False
2100,20731,False
324,8519,False
1973,3155,False
695,12569,False
2513,20426,False
1951,20443,False
1922,20240,False
481,14853,False
523,7630,False
468,20645,False
235,21783,False
1010,15003,False
1345,20145,False
2527,13282,False
1286,16535,False
974,19753,False
1499,4637,True
1559,14553,False
2089,7048,False
108,12441,False
1717,17261,False
1758,13845,False
2510,11625,False
975,13422,False
2136,19006,False
1549,18948,False
39,10872,False
1475,12654,False
137,21120,False
90,21917,False
1937,8500,False
157,16205,False
2244,594,False
297,15653,False
2331,21976,False
1699,17103,False
2392,15893,False
1653,1649,False
286,18626,False
861,11942,False
944,14177,True
426,14868,False
939,3615,False
1776,13179,False
903,16989,False
428,6990,True
1280,7637,False
1092,13747,False
1385,17536,False
323,1244,False
2054,7601,False
1482,8566,False
630,12817,False
2188,2671,False
2118,20621,False
2252,16783,False
836,8739,False
319,21483,False
2315,9548,False
303,19299,False
2216,17494,False
1883,19123,False
1149,9481,False
1761,12647,False
2004,1747,False
871,20288,False
1618,6364,False
1579,11460,False
1155,14873,False
518,2138,False
2468,10813,False
615,17519,False
309,19291,False
1186,16092,False
2538,2279,True
2199,18138,True
2542,6690,False
1509,9332,False
396,17848,False
2462,14117,False
455,19347,False
1671,20794,False
453,10899,False
2339,2236,False
2343,4784,False
2211,4646,False
1189,2759,False
2344,14944,True
555,19009,False
1550,11326,False
1038,5010,False
1108,10672,False
2254,345,True
2190,2310,False
2013,9226,False
2216,20675,False
2071,8814,False
745,11810,False
1584,11475,False
2133,8990,False
2014,9456,False
1466,13592,False
2088,22025,False
469,19257,False
2364,16366,False
1833,9342,False
1957,17570,False
919,17371,False
2293,6548,False
1301,6494,False
1999,20189,False
2155,4318,False
1177,20811,False
887,12783,False
225,12627,False
2033,18679,True
2103,2963,False
1178,18153,False
559,21310,False
2184,11689,False
182,7399,False
906,3469,False
465,7304,False
810,1480,True
25,6984,True
1466,15575,False
1697,16578,False
2056,3067,True
1317,20506,False
1478,1766,False
2236,1662,False
2199,20395,True
935,14800,False
2273,5255,False
707,8042,False
1875,9386,False
591,5594,True
2356,5527,False
2019,16543,False
530,6615,False
1093,16869,False
550,2555,False
86,11617,False
2360,17905,False
1934,9578,False
2255,14015,False
523,3626,False
2328,16352,False
1218,5267,False
1291,17829,False
2260,13722,False
395,99,False
53,17892,False
1766,5888,False
632,13149,False
1093,5462,False
2335,8279,False
483,9130,False
302,16807,False
2201,17198,True
548,3414,False
1511,4519,False
1266,4232,False
2123,1794,False
3,4378,False
491,19957,False
1919,543,False
120,14795,False
589,15495,False
2047,8524,False
191,1243,False
1694,3793,False
360,19150,False
19,17429,False
330,1599,False
1287,15033,False
1732,5720,False
575,5075,False
231,10436,False
1637,1270,False
2275,19662,False
1246,21594,False
1792,8494,False
1904,15684,False
164,18937,False
1776,16437,False
1932,9016,True
848,602,False
41,6816,False
1474,3961,False
172,1152,False
870,14930,True
694,20006,False
784,12733,False
1311,14760,False
246,19031,False
663,7135,True
2029,14035,False
2155,17864,False
1789,11778,False
1726,18463,False
272,3965,False
1083,20644,False
266,2949,False
1109,8091,False
1209,14109,False
1972,3593,False
1295,6405,False
184,2959,False
681,20251,False
1159,13109,False
461,18389,False
1263,22051,False
1946,1315,False
636,9151,False
221,16624,False
1705,14645,False
2119,20314,False
892,21096,False
1802,14924,True
138,11468,False
1400,14943,True
1528,16916,True
2224,14686,False
302,16641,False
639,10128,False
2422,8663,False
997,4379,False
742,8235,False
1007,11116,True
2096,2974,False
360,11566,False
334,10661,False
1380,20890,False
1684,17948,False
476,2717,False
148,16398,True
838,715,False
1777,3750,False
1742,15527,False
1758,9789,False
413,284,False
337,6115,False
2136,4705,False
396,7144,False
898,11343,False
192,11131,False
1299,14223,False
1882,10854,False
194,20939,False
1460,14498,False
512,9060,True
1071,16126,False
864,11894,False
528,76,False
540,9383,False
65,11129,True
1718,8845,True
1522,21029,False
1666,6194,True
705,16536,False
1960,2284,False
2024,18710,False
872,15268,False
1562,12169,False
