ltable_id,rtable_id,sensitive
2666,35475,False
4823,20588,True
3376,7414,False
5712,35057,True
6764,51438,False
592,43689,False
2479,33786,False
5001,3099,False
6234,13713,False
2749,17161,False
1148,7757,False
467,362,False
6458,18807,True
6218,29583,False
1151,53282,False
2399,29849,False
1489,3898,False
3093,22994,True
508,55899,False
642,24635,False
254,49104,False
6857,39318,False
5806,6499,True
2845,52867,False
205,41179,True
1655,49479,False
3944,18970,True
147,50730,True
598,43689,False
4747,5682,True
1776,33397,False
2782,31534,False
3358,39320,False
836,23706,False
3850,9120,False
6532,38301,False
3324,7403,False
6047,4667,True
4384,23361,False
3887,16397,True
4610,26152,False
1897,51626,True
3354,17660,False
1777,20232,False
1736,10938,False
110,53087,False
5827,6502,False
2490,4511,False
1735,10926,False
1595,52925,False
6724,17069,False
5542,10251,False
433,33307,False
251,52967,False
6634,824,False
3864,8306,False
2901,21458,True
582,378,False
5702,37654,False
2222,815,False
3104,22995,True
4659,41090,True
5518,9828,False
1193,28008,True
3507,23084,True
2375,3581,False
416,33321,False
3870,23901,False
4326,23361,False
249,53087,False
426,33282,False
498,29283,False
588,55899,False
5122,34113,False
3421,34320,False
1069,11277,True
4587,26140,False
2394,29834,False
3354,17643,False
5761,21517,False
5726,4470,False
1636,27530,False
3926,16397,True
5143,43647,False
3356,39335,False
2834,53255,True
3503,54798,True
1413,51590,True
2913,21458,True
5227,27254,True
5363,47909,False
2456,24297,False
3878,23925,False
3762,38431,True
6104,7981,False
5885,19151,False
1946,23456,True
4547,26140,False
5077,40465,True
3870,23889,False
2742,17181,False
1514,49668,False
3771,38442,True
4413,42103,False
4468,31072,True
4301,29695,False
431,33296,False
1164,27994,True
1683,23727,False
5083,40471,True
2368,33786,False
5406,27824,True
2812,47863,False
2337,54230,False
5733,4465,False
668,24621,False
1918,9358,True
4312,6130,False
1216,33988,True
1358,42278,True
6592,38375,False
4669,41083,True
6425,31102,True
3292,7440,False
6280,47818,False
3734,47848,False
1161,27990,True
251,53047,False
1683,23781,False
537,1878,False
1406,48287,True
6429,31088,True
